,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tuatapere,29.0,NZ,1579969399.0,91.0,-46.13,167.68,11.67,1.27
1,hermanus,18.0,ZA,1579969625.0,85.0,-34.42,19.23,20.56,5.36
2,sangin,0.0,AF,1579969625.0,66.0,32.07,64.84,8.55,1.67
3,rikitea,0.0,PF,1579969357.0,79.0,-23.12,-134.97,25.62,6.06
4,balkanabat,0.0,TM,1579969625.0,61.0,39.51,54.37,0.24,1.54
5,erzin,0.0,TR,1579969625.0,49.0,36.96,36.2,11.11,0.89
6,puerto ayora,57.0,EC,1579969626.0,52.0,-0.74,-90.35,25.0,3.58
7,norman wells,100.0,CA,1579969626.0,97.0,65.28,-126.83,-25.73,5.9
8,anaconda,83.0,US,1579969626.0,85.0,46.13,-112.94,-2.78,3.75
9,marsa matruh,2.0,EG,1579969626.0,66.0,31.35,27.25,14.53,4.48
10,luganville,24.0,VU,1579969626.0,95.0,-15.53,167.17,21.42,0.24
11,dikson,100.0,RU,1579969405.0,96.0,73.51,80.55,-21.78,4.24
12,isernia,99.0,IT,1579969627.0,90.0,41.6,14.24,11.67,0.45
13,chokurdakh,26.0,RU,1579969390.0,92.0,70.63,147.92,-35.85,0.84
14,kuminskiy,81.0,RU,1579969627.0,97.0,58.67,66.57,-16.53,2.82
15,monrovia,0.0,LR,1579969627.0,63.0,6.3,-10.8,29.66,5.32
16,meulaboh,66.0,ID,1579969627.0,68.0,4.14,96.13,29.65,1.77
17,nome,0.0,US,1579969409.0,72.0,64.5,-165.41,-22.79,3.05
18,kaeo,1.0,NZ,1579969628.0,100.0,-35.1,173.78,16.67,3.56
19,kruisfontein,21.0,ZA,1579969628.0,64.0,-34.0,24.73,24.39,5.16
20,port lincoln,1.0,AU,1579969440.0,88.0,-34.73,135.87,18.19,2.55
21,lebu,0.0,CL,1579969628.0,35.0,-37.62,-73.65,23.74,4.49
22,yellowknife,100.0,CA,1579969628.0,84.0,62.46,-114.35,-16.11,5.36
23,leningradskiy,95.0,RU,1579969629.0,89.0,69.38,178.42,-25.86,1.39
24,kapaa,45.0,US,1579969431.0,59.0,22.08,-159.32,20.0,3.28
25,bengkulu,96.0,ID,1579969429.0,93.0,-3.8,102.27,23.38,1.4
26,punta arenas,100.0,CL,1579969339.0,54.0,-53.15,-70.92,15.0,18.33
27,luderitz,0.0,NA,1579969629.0,83.0,-26.65,15.16,19.86,4.88
28,severo-yeniseyskiy,100.0,RU,1579969629.0,90.0,60.37,93.04,-2.96,7.06
29,kuva,,,,,,,,
30,umm lajj,0.0,SA,1579969630.0,13.0,25.02,37.27,16.68,9.04
31,yakeshi,0.0,CN,1579969630.0,91.0,49.28,120.73,-26.23,1.85
32,upernavik,100.0,GL,1579969403.0,92.0,72.79,-56.15,-24.07,2.62
